2022-02-05 18:42:46 Error: ３列正式名前、年齢誤り 年齢、性別に誤りがあります
2022-02-05 18:43:07 Error: ３列正式フォーマット誤り フォーマットに誤りがあります
2022-02-05 18:55:09 Success:sample_file.csv 年齢、性別に誤りがあります
2022-02-05 21:34:11 Success:sample_file.csv 指定したCSVファイルをデータベースに登録しました
2022-02-05 22:44:44 Success:sample_file.csv 指定したCSVファイルをデータベースに登録しました
2022-02-05 22:45:39 Success:sample_file.csv 指定したCSVファイルをデータベースに登録しました
2022-02-06 10:19:29 Warning:CSVファイルではない 指定したファイルはCSVファイルではありません
2022-02-06 10:19:39 Success:sample_file.csv 指定したCSVファイルをデータベースに登録しました
2022-02-06 10:24:17 Success:sample_file.csv 指定したCSVファイルをデータベースに登録しました
2022-02-06 10:44:29 Success:sample_file.csv 指定したCSVファイルをデータベースに登録しました
2022-02-06 10:45:33 Error:３列正式フォーマット誤り フォーマットに誤りがあります
2022-02-06 10:45:44 Success:sample_file.csv 指定したCSVファイルをデータベースに登録しました
2022-02-06 19:02:05 Success:sample_file.csv 指定したCSVファイルをデータベースに登録しました
2022-02-07 20:16:09 Success:sample_file.csv 指定したCSVファイルをデータベースに登録しました
